Site,Channel,Replicate,Hour,DmagnaCT,DmagnaCN,DanicaCT,DanicaCN,AnguillaCT,AnguillaCN,,,,,,,
Hanwell,C2,R3,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Hanwell,C2,R3,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Hanwell,C2,R3,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Hanwell,C3,R1,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Hanwell,C3,R1,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Hanwell,C3,R1,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Hanwell,C3,R2,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Hanwell,C3,R2,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Hanwell,C3,R2,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Hanwell,C3,R3,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Hanwell,C3,R3,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Hanwell,C3,R3,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C1,R1,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C1,R1,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C1,R1,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C1,R2,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C1,R2,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C1,R2,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C1,R3,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C1,R3,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C1,R3,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C2,R1,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C2,R1,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C2,R1,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C2,R2,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C2,R2,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C2,R2,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C2,R3,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C2,R3,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C2,R3,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C3,R1,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C3,R1,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C3,R1,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C3,R2,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C3,R2,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C3,R2,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C3,R3,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C3,R3,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Sidaway,C3,R3,-1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Carpenter,C1,R1,0,30.72,120.780,24.99,53.460,27.59,10.000,,,,,,,
Carpenter,C1,R1,0,30.97,101.280,24.99,53.620,27.74,9.230,,,,,,,
Carpenter,C1,R1,0,30.91,105.600,24.96,54.760,27.73,9.280,,,,,,,
Carpenter,C1,R2,0,30.25,168.220,25.06,50.810,28.32,6.710,,,,,,,
Carpenter,C1,R2,0,30.26,166.650,25.22,45.770,27.98,8.110,,,,,,,
Carpenter,C1,R2,0,30.52,139.140,25.25,44.580,28.24,7.030,,,,,,,
Carpenter,C1,R3,0,30.84,111.060,25.01,52.930,27.55,10.260,,,,,,,
Carpenter,C1,R3,0,31.37,76.630,25.61,34.750,28.30,6.780,,,,,,,
Carpenter,C1,R3,0,31.41,74.650,25.09,49.920,27.79,9.000,,,,,,,
Carpenter,C2,R1,0,34.39,9.310,29.60,2.200,30.96,1.590,,,,,,,
Carpenter,C2,R1,0,33.96,12.530,29.59,2.210,31.43,1.230,,,,,,,
Carpenter,C2,R1,0,34.38,9.370,30.11,1.540,31.37,1.270,,,,,,,
Carpenter,C2,R2,0,33.43,18.250,28.11,6.170,29.81,2.980,,,,,,,
Carpenter,C2,R2,0,33.61,16.000,27.96,6.870,29.53,3.460,,,,,,,
Carpenter,C2,R2,0,33.20,21.420,28.31,5.380,30.15,2.470,,,,,,,
Carpenter,C2,R3,0,0.00,0.000,32.15,0.370,31.47,1.200,,,,,,,
Carpenter,C2,R3,0,0.00,0.000,32.00,0.410,31.98,0.910,,,,,,,
Carpenter,C2,R3,0,0.00,0.000,32.48,0.300,31.09,1.480,,,,,,,
Carpenter,C3,R1,0,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Carpenter,C3,R1,0,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Carpenter,C3,R1,0,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Carpenter,C3,R2,0,32.49,35.020,28.66,4.210,29.62,3.310,,,,,,,
Carpenter,C3,R2,0,32.27,41.040,28.73,4.030,29.45,3.630,,,,,,,
Carpenter,C3,R2,0,32.22,42.380,28.57,4.500,29.41,3.700,,,,,,,
Carpenter,C3,R3,0,34.53,8.470,29.58,2.230,30.19,2.420,,,,,,,
Carpenter,C3,R3,0,34.52,8.510,29.58,2.240,29.83,2.950,,,,,,,
Carpenter,C3,R3,0,34.13,11.160,29.32,2.670,29.84,2.930,,,,,,,
Davies,C1,R1,0,0.00,0.000,23.05,204.710,29.21,4.130,,,,,,,
Davies,C1,R1,0,0.00,0.000,22.99,213.040,28.91,4.860,,,,,,,
Davies,C1,R1,0,0.00,0.000,23.01,210.730,29.01,4.620,,,,,,,
Davies,C1,R2,0,33.75,14.510,22.70,189.320,28.42,6.390,,,,,,,
Davies,C1,R2,0,32.62,32.150,22.38,235.290,28.56,5.920,,,,,,,
